"Genus","taxon_id"
"LICHENOTHRIX",NA
"LICHINA",175582
"LICHINELLA",175654
"LICHINODIUM",175626
"LIGNOSCRIPTA",464926
"LITHOGRAPHA",175651
"LITHOTHELIUM",175578
"LLIMONAEA",463441
"LLIMONIELLA",175658
"LOBARIA",48714
"LOBOTHALLIA",175612
"LOPADIOPSIS",NA
"LOPADIUM",175625
"LOPEZARIA",175677
"LOXOSPORA",175557
"LOXOSPOROPSIS",175574
"MACENTINA",379101
"MALCOLMIELLA",532126
"MALMIDEA",463986
"MARCHANDIOBASIDIUM",374734
"MARCHANDIOMYCES",175551
"MARONEA",175580
"MASONHALEA",175671
"MASSALONGIA",123503
"MASSARINA",353136
"MASTODIA",379112
"MAZOSIA",175592
"MEDUSULINA",175652
"MEGALARIA",175677
"MEGALOSPORA",175581
"MEGASPORA",175618
"MELANARIA",NA
"MELANELIA",117853
"MELANELIXIA",194687
"MELANOGRAPHA",466547
"MELANOHALEA",461455
"MELANOLECIA",175660
"MELANOMMA",178201
"MELANOPHLOEA",463496
"MELANOTHECA",117884
"MELANOTOPELIA",463498
"MELANOTREMA",463500
"MELASPILEA",175584
"MELASPILEELLA",464918
"MENEGAZZIA",123678
"MERISMATIUM",175549
"METAMELANEA",463509
"METASPHAERIA",374902
"MICAREA",175539
"MICAREOPSIS",366524
"MICROCALICIUM",175540
"MICROGLAENA",NA
"MICROLYCHNUS",175764
"MICROPHIALE",NA
"MICROTHELIA",175204
"MINUTOEXCIPULA",175579
"MIRIQUIDICA",175537
"MOBERGIA",175538
"MOELLEROPSIS",458884
"MONOBLASTIA",175536
"MONOBLASTIOPSIS",463537
"MONODICTYS",353045
"MONTANELIA",463987
"MOSIGIA",NA
"MUELLERELLA",175562
"MULTICLAVULA",175541
"MYCOBILIMBIA",175534
"MYCOBLASTUS",127122
"MYCOCALICIUM",175535
"MYCOGLAENA",175528
"MYCOMICROTHELIA",175532
"MYCOPORELLUM",374941
"MYCOPORUM",175526
"MYELOCHROA",175529
"MYOCHROIDEA",463570
"MYRIOLECIS",531563
"MYRIONORA",175530
"MYRIOSPORA",464186
"MYRIOTREMA",175527
"MYXOBILIMBIA",NA
"MYXOPHORA",463580
"MYXOTRICHUM",175507
"NADVORNIKIA",175524
"NAETROCYMBE",463582
"NANOSTICTIS",175508
"NECTRIA",118022
"NECTRIELLA",374955
"NECTRIOPSIS",374956
"NEOBARYA",374959
"NEOCATAPYRENIUM",463596
"NEOCOLEROA",466546
"NEOFUSCELIA",60724
"NEOLAMYA",463599
"NEOPROTOPARMELIA",1024367
"NEPHROMA",117852
"NEPHROMIUM",117852
"NEPHROMOPSIS",977407
"NESOLECHIA",466118
"NEUROPOGON",67747
"NIEBLA",147234
"NIESSLIA",374965
"NIGROPUNCTA",463608
"NIGROVOTHELIUM",738482
"NODOBRYORIA",175525
"NORMANDINA",117871
"OBRYZUM",463611
"OCELLULARIA",175505
"OCHROLECHIA",71060
"ODONTOTREMA",1033882
"OMPHALARIA",NA
"OMPHALINA",118257
"OMPHALODISCUS",NA
"OMPHALODIUM",NA
"OMPHALORA",175503
"OPEGRAPHA",175501
"OPEGRAPHOIDEA",NA
"OPHIOPARMA",120529
"ORCULARIA",466103
"ORPHNIOSPORA",175502
"OVICUCULISPORA",466612
"OXNERIA",NA
"PACHNOLEPIA",1026491
"PACHYOSPORA",344388
"PACHYPELTIS",701958
"PACHYPHIALE",175780
"PACHYPHYSIS",463648
"PALICELLA",464238
"PANNARIA",69214
"PARABAGLIETTOA",463654
"PARANECTRIA",463656
"PARAPARMELIA",NA
"PARASCHISMATOMMA",464232
"PARATHELIUM",NA
"PARMELIA",54735
"PARMELIELLA",175493
"PARMELINA",175488
"PARMELINOPSIS",NA
"PARMELIOPSIS",154565
"PARMENTARIA",117884
"PARMOTREMA",117867
"PARMOTREMOPSIS",175487
"PARMULARIA",841089
"PARVOPLACA",464210
"PATELLARIA",185111
"PATRICIOMYCES",463684
"PAULIA",175490
"PECCANIA",175486
"PECTENIA",823669
"PELTIGERA",54294
"PELTULA",175506
"PERFORARIA",175952
"PERIDIOTHELIA",175495
"PERIGRAPHA",463701
"PERTUSARIA",117865
"PETRACTIS",175456
"PEZICULA",375023
"PEZIZELLA",353038
"PHACOGRAPHA",463715
"PHACOPSIS",175459
"PHACOTHECIUM",464209
"PHAEOCALICIUM",127380
"PHAEOGRAPHINA",175455
"PHAEOGRAPHIS",175452
"PHAEOPHYSCIA",60709
"PHAEOPYXIS",175897
"PHAEORRHIZA",175444
"PHAEOSPORA",175468
"PHAEOSPOROBOLUS",175643
"PHAEOTREMA",NA
"PHARCIDIA",175021
"PHLOEOPECCANIA",463743
"PHLYCTELLA",176082
"PHLYCTIDIA",175440
"PHLYCTIS",175440
"PHOEBUS",464072
"PHOMA",375045
"PHRAGMONAEVIA",NA
"PHYLLISCUM",175454
"PHYLLOBLASTIA",370756
"PHYLLOPSORA",175450
"PHYSALOSPORA",375047
"PHYSCIA",117887
"PHYSCIELLA",175438
"PHYSCIOPSIS",NA
"PHYSCONIA",175433
"PHYSMA",175437
"PHYTOCONIS",NA
"PICCOLIA",463774
"PILOPHORUS",128925
"PLACIDIOPSIS",175427
"PLACIDIUM",120384
"PLACOCARPUS",463787
"PLACODIUM",377713
"PLACOMARONEA",464208
"PLACOPSIS",175426
"PLACOPYRENIUM",463792
"PLACYNTHIELLA",175423
"PLACYNTHIUM",175421
"PLAGIOCARPA",NA
"PLATISMATIA",117886
"PLATYGRAMME",463806
"PLATYGRAPHA",379207
"PLATYGRAPHOPSIS",175422
"PLATYSMA",91139
"PLATYTHECIUM",463991
"PLECTOCARPON",175428
"PLEOPSIDIUM",154252
"PLEUROTHELIOPSIS",NA
"PLEUROTREMA",175578
"POELTINULA",175420
"POLYBLASTIA",175278
"POLYBLASTIOPSIS",175698
"POLYCAULIONA",463984
"POLYCHIDIUM",175316
"POLYCOCCUM",175339
"POLYDESMIA",375080
"POLYMERIDIUM",175419
"POLYPYRENULA",463854
"POLYSPORINA",175418
"POLYTHELIS",NA
"PORINA",378573
"POROCYPHUS",175265
"PORPIDIA",125754
"PRONECTRIA",175277
"PROTOBLASTENIA",175285
"PROTOMICAREA",463878
"PROTOPANNARIA",463880
"PROTOPARMELIA",175360
"PROTOPARMELIOPSIS",532707
"PROTOTHELENELLA",175375
"PROTOUNGUICULARIA",463888
"PSEUDEPHEBE",154187
"PSEUDEVERNIA",175350
"PSEUDOCYPHELLARIA",55247
"PSEUDOPARMELIA",175417
"PSEUDOPYRENIDIUM",464180
"PSEUDOPYRENULA",175416
"PSEUDOSAGEDIA",175394
"PSEUDOSCHISMATOMMA",464179
"PSEUDOTHELOMMA",1039174
"PSILOLECHIA",175274
"PSORA",60561
"PSORINIA",175319
"PSOROGLAENA",175382
"PSOROMA",175383
"PSOROTICHIA",175307
"PSORULA",175361
"PTERYGIOPSIS",175415
"PTERYGIUM",NA
"PTYCHOGRAPHA",463917
"PUNCTELIA",69211
"PUTTEA",463990
"PYCNORA",463925
"PYCNOTHELIA",175395
"PYCNOTREMA",1038164
"PYRENASTRUM",NA
"PYRENIDIUM",175292
"PYRENOCARPON",463983
"PYRENOCOLLEMA",175366
"PYRENODESMIA",379246
"PYRENOPSIDIUM",NA
"PYRENOPSIS",175405
"PYRENOTHAMNIA",NA
"PYRENOTHRIX",175413
"PYRENOTRICHUM",379245
"PYRENULA",117884
"PYRENULELLA",NA
"PYRGILLUS",175258
"PYRRHOSPORA",117878
"PYXINE",175247
"RACIBORSKIOMYCES",463605
"RACODIUM",175246
"RAESAENENIA",1024143
"RAMALINA",48325
"RAMBOLDIA",175113
"RAMONIA",175103
"REBENTISCHIA",NA
"RECHINGERIA",NA
"RECONDITELLA",NA
"REFRACTOHILUM",175129
"REIMNITZIA",510735
"REINKELLA",175097
"RELICINA",175094
"REQUIENELLA",175088
"RHABDODISCUS",532190
"RHABDOSPORA",175172
"RHAGADOSTOMA",NA
"RHEXOPHIALE",1039408
"RHIZOCARPON",117899
"RHIZOPLACA",175170
"RHYMBOCARPUS",1009009
"RICASOLIA",379260
"RIMELIA",117867
"RIMELIELLA",117867
"RIMULARIA",175169
"RINODINA",123457
"ROBERGEA",519863
"ROCCELLA",175055
"ROCCELLINA",379264
"ROCKEFELLERA",1038363
"ROMJULARIA",532260
"ROPALOSPORA",175168
"ROSELLINIELLA",379267
"ROSELLINIOPSIS",175065
"ROSELLINULA",175016
"ROSTANIA",532757
"RUFOPLACA",532756
"RUSAVSKIA",532755
"SACCOMORPHA",NA
"SAGEDIA",175158
"SAGEDIOPSIS",175015
"SAGIOLECHIA",175017
"SANGUINOTREMA",532754
"SANTESSONIELLA",174982
"SARCOGRAPHA",175034
"SARCOGYNE",175047
"SARCOPYRENIA",840927
"SARCOSAGIUM",174976
"SAREA",175145
"SAXOMYCES",NA
"SCHADONIA",174962
"SCHAERERIA",174993
"SCHISMATOMMA",174968
"SCHIZOPELTE",175011
"SCLEROCOCCUM",903263
"SCLEROPHORA",174951
"SCLEROPHYTON",175134
"SCOLICIOSPORUM",174949
"SCULPTOLUMINA",532293
"SCUTULA",174952
"SCYTINIUM",526743
"SECOLIGA",NA
"SEGESTRIA",172281
"SEIROPHORA",532327
"SIGRIDEA",174938
"SILOBIA",464186
"SIPHULA",174925
"SKYTTEA",174926
"SKYTTELLA",174927
"SOLENOPSORA",355344
"SOLITARIA",532753
"SOLORINA",174908
"SOLORINARIA",NA
"SOLORINELLA",175774
"SPARRIA",532752
"SPEERSCHNEIDERA",174890
"SPHAERELLOTHECIUM",174881
"SPHAERIA",823762
"SPHAEROPEZIA",907761
"SPHAEROPHORUS",55243
"SPHAERULINA",175161
"SPHINCTRINA",174859
"SPHINCTRINELLA",NA
"SPILONEMA",174870
"SPILONEMELLA",174878
"SPIROGRAPHA",NA
"SPORASTATIA",175044
"SPORODICTYON",532340
"SPORODOPHORON",532749
"SPOROPODIUM",174860
"SPOROSTIGMA",532748
"SQUAMARINA",174994
"SQUAMULEA",532747
"STAUROLEMMA",174845
"STAUROTHELE",174843
"STEGOBOLUS",463380
"STEINEROPSIS",532746
"STEINIA",174851
"STENOCYBE",174840
"STEREOCAULON",122660
"STICTA",117896
"STICTIS",352486
"STIGMATOCHROMA",NA
"STIGMIDIUM",175021
"STIRTONIA",379321
"STRANGOSPORA",174838
"STRIGULA",174841
"STROMATELLA",532379
"SULCARIA",174837
"SULCOPYRENULA",341763
"SYNALISSA",174835
"SYNARTHONIA",1026218
"SYNCESIA",532383
"SYNECHOBLASTUS",117962
"SYZYGOSPORA",204678
"SZCZAWINSKIA",175151
"TAENIOLELLA",352677
"TALPAPELLIS",1040344
"TAPELLARIA",174836
"TELOSCHISTES",55554
"TEPHROMELA",174833
"TETRAMELAS",462522
"TEUVOA",532758
"TEXOSPORIUM",174831
"THALLOLOMA",379352
"THAMNOGALLA",174830
"THAMNOLIA",174824
"THECARIA",532400
"THELENELLA",174823
"THELIDIELLA",NA
"THELIDIUM",174822
"THELIGNYA",174825
"THELOCARPON",174832
"THELOMMA",146939
"THELOPSIS",174819
"THELOTREMA",120448
"THERMUTIS",174818
"THOLURNA",174821
"THROMBIUM",174813
"THYREA",174811
"TICHOTHECIUM",174766
"TINGIOPSIDIUM",1032416
"TOENSBERGIA",532745
"TOMASELLIA",174810
"TONINIA",174808
"TOPELIA",174814
"TOPELIOPSIS",379359
"TORNABEA",532427
"TRAPELIA",117913
"TRAPELIOPSIS",174809
"TREMATOSPHAERIOPSIS",463115
"TREMELLA",48532
"TREMOLECIA",174792
"TRICHARIA",174842
"TRICHONECTRIA",375263
"TRICHORAMALINA",174791
"TRICHOSPHAERELLA",375268
"TRICHOSPHAERIA",375269
"TRICHOTHELIUM",174894
"TRIMMATOSTROMA",352742
"TRIMMATOTHELE",174793
"TRIMMATOTHELOPSIS",532740
"TRINATHOTREMA",532739
"TRYPETHELIUM",174782
