City	Observations	Species	People
San Antonio, Texas, USA	12472	2032	703
San Carlos de Bariloche, Río Negro, Argentina	252	104	21
San Cristóbal de las Casas, Chiapas, México	467	286	26
San Diego County, California, USA	17213	2409	920
San Francisco Bay Area, California, USA	31450	2975	2496
San Francisco de Macoris, Duarte, Republica Dominicana	1	1	1
San Luis Potosí, San Luis Potosí, México	340	212	14
San Miguel de Tucumán, Tucumán, Argentina	1377	472	66
San pedro Pochutla, Oaxaca, México	61	49	6
Santa Cruz de la Sierra, Santa Cruz, Bolivia	7173	1347	336
Santo Domingo, Santo Domingo, Republica Dominicana	56	45	10
Savannah, Georgia, USA	166	115	46
Seattle-Tacoma Metropolitan Area, Washington, USA	5190	1044	565
Sevastopol, Sevastopol, Russia	4755	992	28
South Bend (Michiana), Indiana, USA	302	144	33
South Florida, Florida, USA	8430	1743	441
Southeastern Coastal NC, North Carolina, USA	4823	1358	324
Southwest Louisiana, Louisiana, USA	1061	575	53
Spartanburg County, South Carolina, USA	48	38	13
St. Louis, Missouri and Illnois, USA	7011	1259	646
Sucre, Chuquisaca, Bolivia	719	269	50
Surrey, BC/Metro Vancouver, Canada	2599	570	78
Sydney (Greater Sydney Area), New South Wales , Australia	3829	1245	164
São Paulo, Brazil	202	101	24
Tainan City, Tainan, Taiwan	2072	677	116
Tandil, Buenos Aires, Argentina	61	45	6
Taoyuan-Hsinchu, Hsinchu, Taiwan	7908	1690	241
Taranto, Puglia, Italy	217	84	2
Tepic, Nayarit, México	0	0	0
Teton Communities, Wyoming, USA	273	123	14
The Hague, Netherlands	875	501	17
The Wasatch, Utah, USA	6868	1047	636
Tijuana, Baja California, México	420	250	50
Tlaxco, Tlaxcala, México	0	0	0
Tokyo, Tokyo, Japan	1138	416	56
Tolhuin, Tierra del Fuego, Antártida e Islas del Atlántico Sur, Argentina	0	0	0
Toluca, Estado de México, México	932	334	12
Torreon (Comarca Lagunera), Coahuila, México	1213	461	20
Trento, Trentino Alto Adige, Italy	330	191	22
Triangle Area, North Carolina, USA	18234	2419	984
Trieste, Friuli-Venezia Giulia, Italy	12	1	2
Trinitapoli, Puglia, Italy	62	17	3
Tshwane, Gauteng, South Africa	959	537	54
Tulsa Metro Area, Oklahoma, USA	1775	720	177
Tuxpan, Veracruz, México	121	68	3
Ushuaia, Tierra del Fuego, Antártida e Islas del Atlántico Sur, Argentina	161	71	6
Veraguas, Panamá	2332	858	135
Vienna, Vienna, Austria	5043	1252	111
Washington Metropolitan Area, District of Columbia/Virginia/Maryland/West Virginia, USA	27853	2456	1531
West Panamá, Panamá	1467	576	81
Westmorland County, New Brunswick, Canada	1886	485	50
Wilmington, Delaware, USA	1172	497	95
Youngstown (Mahoning River Valley), Ohio, USA	501	246	76
Zagreb, Grad Zagreb, Croatia	59	52	9
Zihuatanejo de Azueta, Guerrero, México	934	244	18
Zona Metropolitana Veracruz, Veracruz, México	1104	348	36
Ōtautahi/Christchurch, Canterbury, New Zealand	7579	1399	157
Ōtepoti/Dunedin, Otago, New Zealand	2506	832	97
