id,user.id,user.login,user.observations_count,user.identifications_count,user.created_at,observed_on,place.id,city,location.lat,location.lon,mappable,taxon.id,taxon.name,taxon.rank,quality_grade
22563275,1491841,daturademon,1150,467,2019-02-24T12:34:20+00:00,4/15/2019,NA,NA,35.11309444,-118.5365694,TRUE,344442,Xanthomendoza fallax,species,needs_id
22563250,1491841,daturademon,1150,467,2019-02-24T12:34:20+00:00,4/15/2019,NA,NA,35.11309444,-118.5365694,TRUE,54613,Letharia vulpina,species,research
22546949,1540469,hil22,65,0,2019-03-20T03:01:46+00:00,4/14/2019,NA,NA,39.26369667,-123.73687,TRUE,54734,Parmelia sulcata,species,needs_id
22546884,94819,asabspade,6114,753,2015-04-30T19:42:11+00:00,4/15/2019,NA,NA,39.40813287,-123.8133978,TRUE,55576,Xanthoria parietina,species,needs_id
22545931,34038,merav,27438,8239,2014-03-29T05:37:30+00:00,4/13/2019,54321,San Francisco Bay Area,37.19208611,-121.8370056,TRUE,48532,Tremella,genus,needs_id
22544113,35597,tomv,1894,69,2014-04-15T03:49:29+00:00,4/14/2019,54321,San Francisco Bay Area,37.43805556,-122.3569444,TRUE,49490,Cladonia,genus,needs_id
22543363,402292,zufi,1698,82,2017-02-07T22:46:45+00:00,4/13/2019,54321,San Francisco Bay Area,37.192055,-121.837095,TRUE,67584,Tremella aurantia,species,needs_id
22541359,732799,panadora,4037,1252,2017-12-11T03:34:47+00:00,4/15/2019,54321,San Francisco Bay Area,38.46223814,-123.284623,TRUE,118245,Lichenomphalia umbellifera,species,research
22541295,732799,panadora,4037,1252,2017-12-11T03:34:47+00:00,4/15/2019,54321,San Francisco Bay Area,38.487251,-123.3719307,TRUE,118245,Lichenomphalia umbellifera,species,research
22540689,697682,alsion,2796,15224,2017-11-06T23:17:22+00:00,4/15/2019,54321,San Francisco Bay Area,37.27828833,-121.85598,TRUE,55576,Xanthoria parietina,species,needs_id
22540615,697682,alsion,2796,15224,2017-11-06T23:17:22+00:00,4/15/2019,54321,San Francisco Bay Area,37.278605,-121.8558717,TRUE,55576,Xanthoria parietina,species,needs_id
22540602,697682,alsion,2796,15224,2017-11-06T23:17:22+00:00,4/15/2019,54321,San Francisco Bay Area,37.278595,-121.85585,TRUE,124439,Physcia adscendens,species,needs_id
22539557,1521819,gabriellegaudet,24,0,2019-03-11T23:28:06+00:00,4/14/2019,NA,NA,39.26419279,-123.7328626,TRUE,117950,Cladonia macilenta,species,research
22538280,364529,sapienshane,4499,5734,2016-11-06T05:51:32+00:00,4/15/2019,139279,Sacramento Region,39.39693069,-121.0822372,TRUE,54294,Peltigera,genus,needs_id
22536248,158523,buzzworm,1588,113,2015-12-05T23:28:08+00:00,4/15/2019,NA,NA,34.07868719,-116.0342972,TRUE,69468,Candelaria,genus,needs_id
22532996,1529103,rgr_yee,963,485,2019-03-15T16:56:47+00:00,4/14/2019,NA,NA,34.01857376,-119.6872559,TRUE,67584,Tremella aurantia,species,research
22530176,1604506,bernadette48,27,0,2019-04-13T03:08:22+00:00,4/12/2019,NA,NA,39.409221,-123.809352,TRUE,463825,Polycauliona candelaria,species,needs_id
22517948,584619,laureltea,113,39,2017-08-17T14:26:33+00:00,4/13/2019,54321,San Francisco Bay Area,38.42191795,-123.1143033,TRUE,463825,Polycauliona candelaria,species,needs_id
22517543,1421621,sillyurchinhat,544,82,2019-01-10T04:35:18+00:00,4/13/2019,NA,NA,40.92954667,-122.486205,TRUE,67343,Arrhenia epichysium,species,research
22514833,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.42751667,-119.71157,TRUE,50252,Lecanora,genus,needs_id
22513102,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/15/2019,NA,NA,34.433255,-119.714195,TRUE,218461,Dimelaena radiata,species,needs_id
22512923,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/15/2019,NA,NA,34.43345333,-119.71193,TRUE,463823,Polycauliona bolacina,species,research
22503972,34038,merav,27438,8239,2014-03-29T05:37:30+00:00,4/13/2019,54321,San Francisco Bay Area,37.19287222,-121.831275,TRUE,123175,Evernia prunastri,species,research
22502291,228955,hikingsandiego,21686,16981,2016-05-02T15:30:53+00:00,4/14/2019,829,San Diego County,33.07623333,-116.5694778,TRUE,49490,Cladonia,genus,needs_id
22500318,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.42853667,-119.7103717,TRUE,218461,Dimelaena radiata,species,needs_id
22500250,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.42843833,-119.7104417,TRUE,212280,Acarospora socialis,species,research
22500102,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.41784167,-119.7048033,TRUE,69163,Caloplaca,genus,needs_id
22499951,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.424125,-119.6953367,TRUE,212280,Acarospora socialis,species,research
22499903,5327,direbecca,7573,5701,2012-03-15T21:43:45+00:00,4/12/2019,54321,San Francisco Bay Area,38.50637279,-122.8627499,TRUE,123175,Evernia prunastri,species,needs_id
22499406,1253547,juliewulie,712,9,2018-10-03T16:32:50+00:00,4/12/2019,54321,San Francisco Bay Area,38.574775,-123.3213117,TRUE,67343,Arrhenia epichysium,species,needs_id
22496206,564584,zaqri,2403,459,2017-08-06T00:47:10+00:00,4/14/2019,54321,San Francisco Bay Area,37.77042833,-122.469505,TRUE,60561,Psoralea,genus,casual
22496200,1260276,eric423,310,5,2018-10-06T18:29:20+00:00,4/14/2019,NA,NA,39.26409112,-123.7366728,TRUE,119666,Cladonia portentosa,species,needs_id
