"City","Year","Comparison","rate_before","rate","rate_difference","Chisq","P"
"Ann Arbor, Michigan, USA",2020,"after",0,0.00289017341040462,0.00289017341040462,NA,NA
"Ann Arbor, Michigan, USA",2021,"during",0,0.00130975769482646,0.00130975769482646,NA,NA
"Ann Arbor, Michigan, USA",2021,"after",0,0.00172711571675302,0.00172711571675302,NA,NA
"Atlanta, Georgia, USA",2019,"during",0.00144092219020173,0.00813098685676097,0.00669006466655924,2.93327148983347,0.0867714959857577
"Atlanta, Georgia, USA",2019,"after",0.00144092219020173,0.00285714285714286,0.00141622066694113,NA,NA
"Atlanta, Georgia, USA",2020,"during",0.0076988879384089,0.00502103406160944,-0.00267785387679945,2.23089131980632,0.135275790542637
"Atlanta, Georgia, USA",2020,"after",0.0076988879384089,0.0151898734177215,0.00749098547931262,NA,NA
"Atlanta, Georgia, USA",2021,"during",0.00118670886075949,0.00776884285130162,0.00658213399054213,9.22731177597457,0.00238431454910092
"Atlanta, Georgia, USA",2021,"after",0.00118670886075949,0.0072169598556608,0.00603025099490131,NA,NA
"Atlanta, Georgia, USA",2022,"during",0.0046265697290152,0.0283677409772761,0.0237411712482609,27.7486329835027,1.38145784967585e-07
"Atlanta, Georgia, USA",2022,"after",0.0046265697290152,0,-0.0046265697290152,NA,NA
"Auckland, Auckland, New Zealand",2020,"during",0.011864406779661,0.00960279353993889,-0.00226161323972213,0.0647331576809747,0.799165604014751
"Auckland, Auckland, New Zealand",2020,"after",0.011864406779661,0,-0.011864406779661,NA,NA
"Austin, Texas, USA",2018,"during",0,0.0060855355834789,0.0060855355834789,12.4361438649975,0.000421104329177846
"Austin, Texas, USA",2018,"after",0,0.000531914893617021,0.000531914893617021,NA,NA
"Austin, Texas, USA",2019,"during",0.000345781466113416,0.00596006144393241,0.005614279977819,14.0382092985398,0.000179133437275724
"Austin, Texas, USA",2019,"after",0.000345781466113416,0.0006765899864682,0.000330808520354784,NA,NA
"Austin, Texas, USA",2020,"during",0.0029655990510083,0.00598066962140225,0.00301507057039395,2.70266157680834,0.100180877961253
"Austin, Texas, USA",2020,"after",0.0029655990510083,0.00123915737298637,-0.00172644167802193,NA,NA
"Austin, Texas, USA",2021,"during",0.00586979722518677,0.00983397929079655,0.00396418206560979,14.5266481548487,0.000138190889583442
"Austin, Texas, USA",2021,"after",0.00586979722518677,0.000933271115258983,-0.00493652610992778,NA,NA
"Austin, Texas, USA",2022,"during",0.00398406374501992,0.00974716738409777,0.00576310363907785,7.99936497983307,0.00467937576813549
"Austin, Texas, USA",2022,"after",0.00398406374501992,0.000901510029299076,-0.00308255371572084,NA,NA
"Baltimore, Maryland, USA",2018,"during",0.00373831775700935,0.0074735987002437,0.00373528094323436,NA,NA
"Baltimore, Maryland, USA",2018,"after",0.00373831775700935,0.00505415162454874,0.00131583386753939,NA,NA
"Baltimore, Maryland, USA",2019,"during",0.00356188780053428,0.00569022419483328,0.00212833639429899,0.479802555784924,0.488511764345947
"Baltimore, Maryland, USA",2019,"after",0.00356188780053428,0.00151745068285281,-0.00204443711768148,NA,NA
"Baltimore, Maryland, USA",2020,"during",0.000747384155455904,0.00476833108412056,0.00402094692866465,3.56595104126739,0.0589759483283503
"Baltimore, Maryland, USA",2020,"after",0.000747384155455904,0.00206825232678387,0.00132086817132796,NA,NA
"Baltimore, Maryland, USA",2021,"during",0.00163025758069775,0.00263871582496518,0.00100845824426743,1.35549968128717e-29,0.999999999999997
"Baltimore, Maryland, USA",2021,"after",0.00163025758069775,0.00192890603472031,0.000298648454022558,NA,NA
"Baltimore, Maryland, USA",2022,"during",0.00223114680946006,0.00261976047904192,0.000388613669581853,0.00722806411792808,0.932247062849866
"Baltimore, Maryland, USA",2022,"after",0.00223114680946006,0.00163867267513314,-0.00059247413432692,NA,NA
"Barcelona Metropolitan Area, Catalonia",2018,"during",0.0285714285714286,0,-0.0285714285714286,NA,NA
"Barcelona Metropolitan Area, Catalonia",2018,"after",0.0285714285714286,0,-0.0285714285714286,NA,NA
