"taxon.name","city","n_obs","n_RG","taxon.rank"
"Polycauliona ignea","San Francisco Bay Area",1,1,"species"
"Polycauliona impolita","San Diego County",1,1,"species"
"Polycauliona inconspecta","San Diego County",2,2,"species"
"Polycauliona luteominia","San Diego County",1,1,"species"
"Polycauliona polycarpa","San Diego County",3,2,"species"
"Polycauliona polycarpa","San Francisco Bay Area",2,0,"species"
"Porpidia albocaerulescens","Los Angeles County",1,0,"species"
"Porpidia albocaerulescens","San Diego County",3,0,"species"
"Porpidia albocaerulescens","San Francisco Bay Area",2,0,"species"
"Porpidia crustulata","San Francisco Bay Area",1,0,"species"
"Protoparmeliopsis","Sacramento Region",1,0,"genus"
"Protoparmeliopsis muralis","Los Angeles County",1,0,"species"
"Protoparmeliopsis muralis","Sacramento Region",1,0,"species"
"Protoparmeliopsis muralis","San Diego County",6,6,"species"
"Protoparmeliopsis muralis","San Francisco Bay Area",5,0,"species"
"Protoparmeliopsis pinguis","San Diego County",1,1,"species"
"Protoparmeliopsis pinguis","San Francisco Bay Area",1,0,"species"
"Pseudothelomma occidentale","San Francisco Bay Area",2,0,"species"
"Psoralea pinnata","San Francisco Bay Area",3,0,"species"
"Punctelia","Los Angeles County",1,0,"genus"
"Punctelia jeckeri","San Francisco Bay Area",1,0,"species"
"Ramalina","San Francisco Bay Area",14,0,"genus"
"Ramalina farinacea","San Diego County",3,2,"species"
"Ramalina farinacea","San Francisco Bay Area",15,5,"species"
"Ramalina leptocarpha","San Francisco Bay Area",5,2,"species"
"Ramalina menziesii","Sacramento Region",1,1,"species"
"Ramalina menziesii","San Diego County",1,1,"species"
"Ramalina menziesii","San Francisco Bay Area",32,32,"species"
"Rhizocarpon","Los Angeles County",2,0,"genus"
"Rhizocarpon","San Francisco Bay Area",3,0,"genus"
"Rhizocarpon geographicum","Los Angeles County",2,0,"species"
"Rhizocarpon geographicum","San Francisco Bay Area",7,2,"species"
"Rusavskia","San Diego County",1,0,"genus"
"Rusavskia elegans","Los Angeles County",2,0,"species"
"Rusavskia elegans","San Diego County",2,0,"species"
"Rusavskia elegans","San Francisco Bay Area",12,1,"species"
"Sarcogyne","Los Angeles County",1,0,"genus"
"Sarcogyne","San Diego County",1,0,"genus"
"Sphaerulina westendorpii","San Francisco Bay Area",1,0,"species"
"Squamulea subsoluta","San Diego County",7,7,"species"
"Stereocaulon sterile","San Francisco Bay Area",1,0,"species"
"Sticta fuliginosa","San Francisco Bay Area",1,1,"species"
"Teloschistes","San Francisco Bay Area",1,0,"genus"
"Teloschistes chrysophthalmus","Los Angeles County",1,1,"species"
"Teloschistes chrysophthalmus","San Francisco Bay Area",9,8,"species"
"Teloschistes flavicans","San Francisco Bay Area",2,2,"species"
"Thelomma californicum","San Diego County",1,1,"species"
"Thelomma mammosum","San Diego County",1,0,"species"
"Trapeliopsis glaucopholis","San Diego County",1,1,"species"
"Tremella","Los Angeles County",1,0,"genus"
"Tremella","San Diego County",1,0,"genus"
"Tremella","San Francisco Bay Area",1,0,"genus"
"Tremella aurantia","San Diego County",2,1,"species"
"Tremella aurantia","San Francisco Bay Area",8,4,"species"
"Tremella mesenterica","San Diego County",1,0,"species"
"Tuckermanopsis orbata","San Francisco Bay Area",3,2,"species"
"Umbilicaria","San Francisco Bay Area",1,0,"genus"
"Umbilicaria phaea","Los Angeles County",3,1,"species"
"Umbilicaria phaea","San Diego County",2,2,"species"
"Umbilicaria phaea","San Francisco Bay Area",10,6,"species"
"Usnea","San Francisco Bay Area",35,1,"genus"
"Usnea cornuta","San Francisco Bay Area",1,0,"species"
"Usnea hirta","San Francisco Bay Area",2,1,"species"
"Usnea intermedia","San Francisco Bay Area",5,3,"species"
"Usnea longissima","San Francisco Bay Area",1,1,"species"
"Usnea rubicunda","San Francisco Bay Area",2,2,"species"
"Usnea subfloridana","San Francisco Bay Area",4,0,"species"
"Verrucaria","San Diego County",2,0,"genus"
"Xanthomendoza","San Diego County",2,0,"genus"
"Xanthomendoza fallax","San Diego County",2,1,"species"
"Xanthomendoza hasseana","San Francisco Bay Area",1,0,"species"
"Xanthomendoza ulophyllodes","San Diego County",1,0,"species"
"Xanthoparmelia","Los Angeles County",3,0,"genus"
"Xanthoparmelia","San Diego County",16,0,"genus"
"Xanthoparmelia","San Francisco Bay Area",8,0,"genus"
"Xanthoparmelia conspersa","San Francisco Bay Area",1,0,"species"
"Xanthoparmelia cumberlandia","San Diego County",19,15,"species"
"Xanthoparmelia cumberlandia","San Francisco Bay Area",5,0,"species"
"Xanthoparmelia lineola","San Diego County",2,2,"species"
"Xanthoparmelia maricopensis","San Diego County",2,2,"species"
"Xanthoparmelia mexicana","San Diego County",1,1,"species"
"Xanthoparmelia subhosseana","San Diego County",1,1,"species"
"Xanthoria","Sacramento Region",2,0,"genus"
"Xanthoria","San Francisco Bay Area",7,0,"genus"
"Xanthoria parietina","Los Angeles County",1,0,"species"
"Xanthoria parietina","Sacramento Region",4,1,"species"
"Xanthoria parietina","San Diego County",3,1,"species"
"Xanthoria parietina","San Francisco Bay Area",28,10,"species"
