"Year","City","Period","Observations.All"
2020,"Bristol & Bath City Region, UK","after",977
2022,"Bristol & Bath City Region, UK","before",791
2022,"Bristol & Bath City Region, UK","during",8006
2022,"Bristol & Bath City Region, UK","after",743
2021,"Bristol & Bath City Region, UK","before",502
2021,"Bristol & Bath City Region, UK","during",8658
2021,"Bristol & Bath City Region, UK","after",645
2021,"Brno, Czech Republic","before",149
2021,"Brno, Czech Republic","during",8034
2021,"Brno, Czech Republic","after",266
2020,"Brno, Czech Republic","before",80
2020,"Brno, Czech Republic","during",2658
2020,"Brno, Czech Republic","after",301
2022,"Brno, Czech Republic","before",184
2022,"Brno, Czech Republic","during",5963
2022,"Brno, Czech Republic","after",289
2022,"Bryan/College Station, Texas, USA","before",260
2022,"Bryan/College Station, Texas, USA","during",1295
2022,"Bryan/College Station, Texas, USA","after",178
2021,"Bucaramanga, Santander, Colombia","before",251
2021,"Bucaramanga, Santander, Colombia","during",8185
2021,"Bucaramanga, Santander, Colombia","after",226
2022,"Bucaramanga, Santander, Colombia","before",29
2022,"Bucaramanga, Santander, Colombia","during",10823
2022,"Bucaramanga, Santander, Colombia","after",204
2021,"Buenos Aires, Argentina","before",615
2021,"Buenos Aires, Argentina","during",2891
2021,"Buenos Aires, Argentina","after",551
2020,"Buenos Aires, Argentina","before",358
2020,"Buenos Aires, Argentina","during",1502
2020,"Buenos Aires, Argentina","after",260
2018,"Buenos Aires, Argentina","before",43
2018,"Buenos Aires, Argentina","during",215
2018,"Buenos Aires, Argentina","after",231
2019,"Buenos Aires, Argentina","before",483
2019,"Buenos Aires, Argentina","during",2664
2019,"Buenos Aires, Argentina","after",227
2022,"Buenos Aires, Argentina","before",265
2022,"Buenos Aires, Argentina","during",1090
2022,"Buenos Aires, Argentina","after",534
2021,"Burlington/Winooski, Vermont, USA","before",522
2021,"Burlington/Winooski, Vermont, USA","during",1936
2021,"Burlington/Winooski, Vermont, USA","after",270
2020,"Calgary, Canada","before",130
2020,"Calgary, Canada","during",5544
2020,"Calgary, Canada","after",612
2021,"Calgary, Canada","before",353
2021,"Calgary, Canada","during",6732
2021,"Calgary, Canada","after",624
2022,"Calgary, Canada","before",248
2022,"Calgary, Canada","during",6776
2022,"Calgary, Canada","after",716
2019,"Calgary, Canada","before",223
2019,"Calgary, Canada","during",4460
2019,"Calgary, Canada","after",191
2022,"Waterloo Region, Ontario, Canada","before",294
2022,"Waterloo Region, Ontario, Canada","during",2051
2022,"Waterloo Region, Ontario, Canada","after",866
2021,"Waterloo Region, Ontario, Canada","before",509
2021,"Waterloo Region, Ontario, Canada","during",2107
2021,"Waterloo Region, Ontario, Canada","after",1193
2018,"Waterloo Region, Ontario, Canada","before",21
2018,"Waterloo Region, Ontario, Canada","during",2582
2018,"Waterloo Region, Ontario, Canada","after",264
2019,"Cape Town, Western Cape, South Africa","before",207
2019,"Cape Town, Western Cape, South Africa","during",53869
2019,"Cape Town, Western Cape, South Africa","after",883
2020,"Cape Town, Western Cape, South Africa","before",585
2020,"Cape Town, Western Cape, South Africa","during",33771
2020,"Cape Town, Western Cape, South Africa","after",415
2021,"Cape Town, Western Cape, South Africa","before",863
2021,"Cape Town, Western Cape, South Africa","during",71214
2021,"Cape Town, Western Cape, South Africa","after",595
2022,"Cape Town, Western Cape, South Africa","before",1526
2022,"Cape Town, Western Cape, South Africa","during",66569
2022,"Cape Town, Western Cape, South Africa","after",1511
2021,"Columbus, Ohio, USA","before",720
2021,"Columbus, Ohio, USA","during",1173
2021,"Columbus, Ohio, USA","after",728
2022,"Columbus, Ohio, USA","before",792
2022,"Columbus, Ohio, USA","during",1741
2022,"Columbus, Ohio, USA","after",1637
2021,"Central Taiwan, Taiwan","before",1471
2021,"Central Taiwan, Taiwan","during",3617
2021,"Central Taiwan, Taiwan","after",1093
2020,"Central Taiwan, Taiwan","before",1131
2020,"Central Taiwan, Taiwan","during",4729
2020,"Central Taiwan, Taiwan","after",1129
2022,"Central Taiwan, Taiwan","before",2216
2022,"Central Taiwan, Taiwan","during",2067
2022,"Central Taiwan, Taiwan","after",409
2021,"Charlotte, North Carolina, USA","before",1044
2021,"Charlotte, North Carolina, USA","during",3068
2021,"Charlotte, North Carolina, USA","after",1692
2020,"Charlotte, North Carolina, USA","before",863
2020,"Charlotte, North Carolina, USA","during",1964
2020,"Charlotte, North Carolina, USA","after",1610
2019,"Charlotte, North Carolina, USA","before",201
2019,"Charlotte, North Carolina, USA","during",8707
2019,"Charlotte, North Carolina, USA","after",308
2022,"Charlotte, North Carolina, USA","before",948
2022,"Charlotte, North Carolina, USA","during",3038
2022,"Charlotte, North Carolina, USA","after",899
2020,"Charlottesville, Virginia, USA","before",319
2020,"Charlottesville, Virginia, USA","during",1489
2020,"Charlottesville, Virginia, USA","after",492
2021,"Charlottesville, Virginia, USA","before",707
2021,"Charlottesville, Virginia, USA","during",1591
2021,"Charlottesville, Virginia, USA","after",693
2022,"Charlottesville, Virginia, USA","before",702
2022,"Charlottesville, Virginia, USA","during",2055
2022,"Charlottesville, Virginia, USA","after",857
2018,"Charlottesville, Virginia, USA","before",41
2018,"Charlottesville, Virginia, USA","during",409
2018,"Charlottesville, Virginia, USA","after",30
2019,"Charlottesville, Virginia, USA","before",129
2019,"Charlottesville, Virginia, USA","during",476
2019,"Charlottesville, Virginia, USA","after",76
2020,"Chattanooga, Tennessee, USA","before",786
2020,"Chattanooga, Tennessee, USA","during",3508
2020,"Chattanooga, Tennessee, USA","after",983
2021,"Chattanooga, Tennessee, USA","before",1666
2021,"Chattanooga, Tennessee, USA","during",3645
2021,"Chattanooga, Tennessee, USA","after",1464
2022,"Chattanooga, Tennessee, USA","before",904
2022,"Chattanooga, Tennessee, USA","during",3198
2022,"Chattanooga, Tennessee, USA","after",1597
2020,"Chiayi-Yunlin, Taiwan","before",408
2020,"Chiayi-Yunlin, Taiwan","during",11884
2020,"Chiayi-Yunlin, Taiwan","after",339
2019,"Chiayi-Yunlin, Taiwan","before",742
2019,"Chiayi-Yunlin, Taiwan","during",10149
2019,"Chiayi-Yunlin, Taiwan","after",148
2021,"Chiayi-Yunlin, Taiwan","before",1195
2021,"Chiayi-Yunlin, Taiwan","during",17329
2021,"Chiayi-Yunlin, Taiwan","after",1494
2022,"Chiayi-Yunlin, Taiwan","before",1671
2022,"Chiayi-Yunlin, Taiwan","during",19460
2022,"Chiayi-Yunlin, Taiwan","after",1899
2021,"Chicago, Illinois, USA","before",4133
2021,"Chicago, Illinois, USA","during",12501
2021,"Chicago, Illinois, USA","after",6363
2022,"Chicago, Illinois, USA","before",2617
2022,"Chicago, Illinois, USA","during",9515
2022,"Chicago, Illinois, USA","after",5106
2018,"Chicago, Illinois, USA","before",399
2018,"Chicago, Illinois, USA","during",6981
2018,"Chicago, Illinois, USA","after",1647
2019,"Chicago, Illinois, USA","before",978
2019,"Chicago, Illinois, USA","during",8137
2019,"Chicago, Illinois, USA","after",2872
2020,"Chicago, Illinois, USA","before",1788
2020,"Chicago, Illinois, USA","during",4451
2020,"Chicago, Illinois, USA","after",2427
2021,"Chiriquí, Panamá","before",44
2021,"Chiriquí, Panamá","during",2291
2021,"Chiriquí, Panamá","after",65
2022,"Chiriquí, Panamá","before",152
2022,"Chiriquí, Panamá","during",4927
2022,"Chiriquí, Panamá","after",241
2020,"Chiriquí, Panamá","before",84
2020,"Chiriquí, Panamá","during",7143
2020,"Chiriquí, Panamá","after",191
2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","before",147
2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",17581
2019,"Ōtautahi/Christchurch, Canterbury, New Zealand","after",449
2020,"Ōtautahi/Christchurch, Canterbury, New Zealand","before",737
2020,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",7640
2020,"Ōtautahi/Christchurch, Canterbury, New Zealand","after",531
2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","before",184
2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",11455
2021,"Ōtautahi/Christchurch, Canterbury, New Zealand","after",203
2022,"Ōtautahi/Christchurch, Canterbury, New Zealand","before",446
2022,"Ōtautahi/Christchurch, Canterbury, New Zealand","during",9770
2022,"Ōtautahi/Christchurch, Canterbury, New Zealand","after",204
2022,"Chur, Chur, Switzerland","before",2023
2022,"Chur, Chur, Switzerland","during",10632
2022,"Chur, Chur, Switzerland","after",4744
2021,"Cincinnati, Ohio, USA","before",1109
2021,"Cincinnati, Ohio, USA","during",3459
2021,"Cincinnati, Ohio, USA","after",707
2022,"Cincinnati, Ohio, USA","before",645
2022,"Cincinnati, Ohio, USA","during",3318
2022,"Cincinnati, Ohio, USA","after",846
2022,"Tri-Cities, British Columbia, Canada","before",121
2022,"Tri-Cities, British Columbia, Canada","during",2568
2022,"Tri-Cities, British Columbia, Canada","after",210
2019,"Ciudad de México, México","before",315
2019,"Ciudad de México, México","during",9848
2019,"Ciudad de México, México","after",354
2021,"Ciudad de México, México","before",638
2021,"Ciudad de México, México","during",5229
2021,"Ciudad de México, México","after",804
2022,"Ciudad de México, México","before",881
2022,"Ciudad de México, México","during",8563
2022,"Ciudad de México, México","after",830
2021,"Ciudad de Panamá, Panamá","before",191
2021,"Ciudad de Panamá, Panamá","during",3093
2021,"Ciudad de Panamá, Panamá","after",254
2019,"Ciudad de Panamá, Panamá","before",546
2019,"Ciudad de Panamá, Panamá","during",5216
2019,"Ciudad de Panamá, Panamá","after",395
