"id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
1117253,"https://www.inaturalist.org/taxa/1117253","https://www.inaturalist.org/taxa/1117253","https://www.inaturalist.org/taxa/532698","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Teloschistaceae","Xanthocarpia","ochracea","","2021-04-07T20:29:18Z","Xanthocarpia ochracea","species","https://eol.org/pages/49888883"
1117375,"https://www.inaturalist.org/taxa/1117375","https://www.inaturalist.org/taxa/1117375","https://www.inaturalist.org/taxa/630829","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Lepra","mammosa","","2020-08-02T15:29:22Z","Lepra mammosa","species","http://www.indexfungorum.org/names/names.asp"
1117663,"https://www.inaturalist.org/taxa/1117663","https://www.inaturalist.org/taxa/1117663","https://www.inaturalist.org/taxa/175944","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae","Aspicilia","esculenta","","2020-08-03T10:01:48Z","Aspicilia esculenta","species","https://eol.org/pages/6588833"
1118304,"https://www.inaturalist.org/taxa/1118304","https://www.inaturalist.org/taxa/1118304","https://www.inaturalist.org/taxa/175501","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Opegraphaceae","Opegrapha","diagrapha","","2020-08-05T22:41:54Z","Opegrapha diagrapha","species","https://eol.org/pages/6546362"
1118537,"https://www.inaturalist.org/taxa/1118537","https://www.inaturalist.org/taxa/1118537","https://www.inaturalist.org/taxa/117899","Fungi","Ascomycota","Lecanoromycetes","Rhizocarpales","Rhizocarpaceae","Rhizocarpon","ridescens","","2020-08-06T19:16:35Z","Rhizocarpon ridescens","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/9264551"
1118538,"https://www.inaturalist.org/taxa/1118538","https://www.inaturalist.org/taxa/1118538","https://www.inaturalist.org/taxa/903263","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Dactylosporaceae","Sclerococcum","griseisporodochium","","2021-04-13T05:18:24Z","Sclerococcum griseisporodochium","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/8458826"
1119613,"https://www.inaturalist.org/taxa/1119613","https://www.inaturalist.org/taxa/1119613","https://www.inaturalist.org/taxa/117925","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","Buellia","lignoides","","2020-08-11T14:06:56Z","Buellia lignoides","species","https://eol.org/pages/6560317"
1120304,"https://www.inaturalist.org/taxa/1120304","https://www.inaturalist.org/taxa/1120304","https://www.inaturalist.org/taxa/50252","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecanora","bolcana","","2020-08-13T10:42:51Z","Lecanora bolcana","species","https://eol.org/pages/53654830"
1121491,"https://www.inaturalist.org/taxa/1121491","https://www.inaturalist.org/taxa/1121491","https://www.inaturalist.org/taxa/55453","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Austroroccella","","","2020-08-17T17:40:28Z","Austroroccella","genus","https://eol.org/pages/39978104"
1121492,"https://www.inaturalist.org/taxa/1121492","https://www.inaturalist.org/taxa/1121492","https://www.inaturalist.org/taxa/1121491","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Austroroccella","gayana","","2021-05-21T23:03:26Z","Austroroccella gayana","species","https://eol.org/pages/39978105"
1124244,"https://www.inaturalist.org/taxa/1124244","https://www.inaturalist.org/taxa/1124244","https://www.inaturalist.org/taxa/175021","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Stigmidium","gyrophorarum","","2020-08-27T10:14:00Z","Stigmidium gyrophorarum","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/8530558"
1125835,"https://www.inaturalist.org/taxa/1125835","https://www.inaturalist.org/taxa/1125835","https://www.inaturalist.org/taxa/175501","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Opegraphaceae","Opegrapha","durieui","","2020-09-02T00:34:29Z","Opegrapha durieui","species","https://eol.org/pages/53722035"
1126251,"https://www.inaturalist.org/taxa/1126251","https://www.inaturalist.org/taxa/1126251","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","Stigmatochroma","","","2020-09-03T21:51:10Z","Stigmatochroma","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2389772"
1128107,"https://www.inaturalist.org/taxa/1128107","https://www.inaturalist.org/taxa/1128107","https://www.inaturalist.org/taxa/55247","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Lobariaceae","Pseudocyphellaria","punctillaris","","2020-09-12T05:31:29Z","Pseudocyphellaria punctillaris","species",""
1128183,"https://www.inaturalist.org/taxa/1128183","https://www.inaturalist.org/taxa/1128183","https://www.inaturalist.org/taxa/977613","Chromista","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Steinia","","","2023-01-30T15:08:59Z","Steinia","genus","http://www.marinespecies.org/aphia.php?p=taxdetails&id=425659"
1128705,"https://www.inaturalist.org/taxa/1128705","https://www.inaturalist.org/taxa/1128705","https://www.inaturalist.org/taxa/175357","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Anaptychia","isidiza","","2020-09-14T18:51:39Z","Anaptychia isidiza","species","https://eol.org/pages/52239768"
1129429,"https://www.inaturalist.org/taxa/1129429","https://www.inaturalist.org/taxa/1129429","https://www.inaturalist.org/taxa/374509","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Athelopsis","tenuicystidiata","","2020-12-16T08:09:43Z","Athelopsis tenuicystidiata","species","https://eol.org/pages/42657299"
1130695,"https://www.inaturalist.org/taxa/1130695","https://www.inaturalist.org/taxa/1130695","https://www.inaturalist.org/taxa/175529","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Myelochroa","lindmanii","","2020-09-18T17:41:07Z","Myelochroa lindmanii","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/9295416"
1131728,"https://www.inaturalist.org/taxa/1131728","https://www.inaturalist.org/taxa/1131728","https://www.inaturalist.org/taxa/50252","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecanora","pannonica","","2020-09-20T19:04:41Z","Lecanora pannonica","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/9254789"
1131789,"https://www.inaturalist.org/taxa/1131789","https://www.inaturalist.org/taxa/1131789","https://www.inaturalist.org/taxa/67747","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Usnea","subeciliata","","2020-09-21T00:42:16Z","Usnea subeciliata","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/9285668"
1132749,"https://www.inaturalist.org/taxa/1132749","https://www.inaturalist.org/taxa/1132749","https://www.inaturalist.org/taxa/175529","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Myelochroa","irrugans","","2020-09-23T07:04:54Z","Myelochroa irrugans","species","http://www.catalogueoflife.org/annual-checklist/details/species/id/9255972"
1134080,"https://www.inaturalist.org/taxa/1134080","https://www.inaturalist.org/taxa/1134080","https://www.inaturalist.org/taxa/175884","Fungi","Ascomycota","Dothideomycetes","Trypetheliales","Trypetheliaceae","Astrothelium","nigratum","","2020-09-24T22:28:01Z","Astrothelium nigratum","species","https://lichenportal.org/cnalh/taxa/index.php?taxon=257634&taxauthid=1"
