"Family","Genus","Authority","id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
"Arthoniaceae","Reichlingia","Diederich & Scheid.",903400,"https://www.inaturalist.org/taxa/903400","https://www.inaturalist.org/taxa/903400","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2020-03-01T02:51:44Z","Reichlingia","genus","http://data.gbif.org"
"Arthoniaceae","Sporodophoron","Frisch, Y. Ohmura, Ertz & G. Thor",532749,"https://www.inaturalist.org/taxa/532749","https://www.inaturalist.org/taxa/532749","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2017-02-19T05:43:43Z","Sporodophoron","genus","https://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm"
"Arthoniaceae","Stirtonia","A.L. Sm.",379321,"https://www.inaturalist.org/taxa/379321","https://www.inaturalist.org/taxa/379321","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2015-02-23T01:56:10Z","Stirtonia","genus",""
"Arthoniaceae","Tylophoron","Nyl. ex Stizenb.",174779,"https://www.inaturalist.org/taxa/174779","https://www.inaturalist.org/taxa/174779","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2018-10-31T00:47:55Z","Tylophoron","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2432543"
"Arthoniales_family_incertae_sedis","Angiactis","Aptroot & Sparrius",974395,"https://www.inaturalist.org/taxa/974395","https://www.inaturalist.org/taxa/974395","https://www.inaturalist.org/taxa/55453","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","","","2019-12-08T17:34:12Z","Angiactis","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2456439"
"Arthoniales_family_incertae_sedis","Bactrospora","A. Massal.",175916,"https://www.inaturalist.org/taxa/175916","https://www.inaturalist.org/taxa/175916","https://www.inaturalist.org/taxa/55452","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","","","","2018-10-31T06:42:25Z","Bactrospora","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2377747"
"Arthoniales_family_incertae_sedis","Bryostigma","Poelt & Döbbeler",532764,"https://www.inaturalist.org/taxa/532764","https://www.inaturalist.org/taxa/532764","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2021-03-31T19:05:21Z","Bryostigma","genus",""
"Arthoniales_family_incertae_sedis","Felipes","Frisch & G. Thor",854562,"https://www.inaturalist.org/taxa/854562","https://www.inaturalist.org/taxa/854562","https://www.inaturalist.org/taxa/117928","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","","","2020-02-03T02:34:42Z","Felipes","genus","https://eol.org/pages/43622602"
"Arthoniales_family_incertae_sedis","Helminthocarpon","Fée",175742,"https://www.inaturalist.org/taxa/175742","https://www.inaturalist.org/taxa/175742","https://www.inaturalist.org/taxa/55452","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","","","","2018-10-31T06:45:35Z","Helminthocarpon","genus","http://www.ubio.org/browser/details.php?namebankID=235557"
"Arthoniales_family_incertae_sedis","Phoebus","R.C. Harris & Ladd",464072,"https://www.inaturalist.org/taxa/464072","https://www.inaturalist.org/taxa/464072","https://www.inaturalist.org/taxa/55452","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","","","","2018-10-31T06:47:39Z","Phoebus","genus",""
